Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpMax.Value,DayAirTmpMin.Value,DayDewPnt.Value,DayEto.Value,DayPrecip.Value,DayRelHumAvg.Value,DayRelHumMax.Value,DayRelHumMin.Value,DaySoilTmpAvg.Value,DaySolRadAvg.Value,DayVapPresAvg.Value,DayWindRun.Value,DayWindSpdAvg.Value
2016-01-01,1,6,metric,"95618, 95617, 95616",daily,4.4,9.3,-0.3,-6.9,2.28,0,43,70,34,7.1,92,0.4,354.8,4.1
2016-01-02,2,6,metric,"95618, 95617, 95616",daily,5.6,9.7,1.7,-4.1,1.64,0,50,60,39,6.9,70,0.5,259,3
2016-01-03,3,6,metric,"95618, 95617, 95616",daily,7.6,12.7,2.9,-0.5,1.48,0,57,66,46,4.1,81,0.6,187.9,2.2
2016-01-04,4,6,metric,"95618, 95617, 95616",daily,8,11,5.7,5.4,0.29,5.4,84,96,62,,35,0.9,127.1,1.5
2016-01-05,5,6,metric,"95618, 95617, 95616",daily,9.7,11.6,7.2,8.6,0.29,19.6,93,97,86,,37,1.1,322.4,3.7
2016-01-06,6,6,metric,"95618, 95617, 95616",daily,8.8,11.2,7.2,7.8,0.26,24.3,93,100,87,,29,1.1,338,3.9
2016-01-07,7,6,metric,"95618, 95617, 95616",daily,7.3,10.8,2.2,6.5,0.28,0.9,95,100,77,,41,1,103.3,1.2
2016-01-08,8,6,metric,"95618, 95617, 95616",daily,6.6,11.3,1.7,5.4,0.94,0.7,92,100,74,,98,0.9,90.7,1.1
2016-01-09,9,6,metric,"95618, 95617, 95616",daily,8.8,11.4,6.9,7.5,0.42,3.8,92,100,79,,43,1,185.5,2.1
2016-01-10,10,6,metric,"95618, 95617, 95616",daily,9.3,13.6,6.8,7.8,0.84,0.1,90,100,68,,76,1.1,174.6,2
2016-01-11,11,6,metric,"95618, 95617, 95616",daily,9.5,14,6.4,7.4,0.92,0,87,99,70,,81,1,132.5,1.5
2016-01-12,12,6,metric,"95618, 95617, 95616",daily,11.1,13.4,9.6,8.5,1.05,0,84,100,70,9.7,72,1.1,186.8,2.2
2016-01-13,13,6,metric,"95618, 95617, 95616",daily,11.1,15.4,5.5,8.5,1.44,11.5,84,97,65,10,100,1.1,395.2,4.6
2016-01-14,14,6,metric,"95618, 95617, 95616",daily,7.3,10.7,2.9,6.8,0.16,2.6,97,100,88,9.6,33,1,202,2.3
2016-01-15,15,6,metric,"95618, 95617, 95616",daily,8.9,11.6,5.4,7.8,0.46,3.7,93,100,84,9.6,55,1.1,213,2.5
2016-01-16,16,6,metric,"95618, 95617, 95616",daily,11,14.5,8.7,10.6,0.41,6.9,97,100,87,9.9,47,1.3,197.3,2.3
2016-01-17,17,6,metric,"95618, 95617, 95616",daily,11.7,13,10.3,11.2,0.07,9.6,96,100,89,10.3,19,1.3,290,3.4
2016-01-18,18,6,metric,"95618, 95617, 95616",daily,13.5,16.5,11.7,12.1,0.96,6.2,92,100,73,11.1,78,1.4,216.5,2.5
2016-01-19,19,6,metric,"95618, 95617, 95616",daily,13.1,18.5,10.3,12.1,0.91,23.1,94,100,75,11.6,71,1.4,403.3,4.7
2016-01-20,20,6,metric,"95618, 95617, 95616",daily,10.2,14.2,7.4,9.4,0.77,0.1,95,100,80,11.6,77,1.2,151,1.7
2016-01-21,21,6,metric,"95618, 95617, 95616",daily,11.6,15.7,7.7,10.6,0.49,0,94,100,74,11.4,52,1.3,139.7,1.6
2016-01-22,22,6,metric,"95618, 95617, 95616",daily,12.2,14.3,11,11.2,0.32,8.8,94,100,82,11.6,35,1.3,331.7,3.8
2016-01-23,23,6,metric,"95618, 95617, 95616",daily,11.5,15.3,7.1,8.7,1.02,0.6,83,94,70,11.6,72,1.1,331.8,3.8
2016-01-24,24,6,metric,"95618, 95617, 95616",daily,8.7,15.2,3,6.9,1.02,0,88,100,63,11.1,100,1,88,1
2016-01-25,25,6,metric,"95618, 95617, 95616",daily,10.9,15.5,6.3,8.7,1.7,0.1,86,100,64,11.4,131,1.1,197,2.3
2016-01-26,26,6,metric,"95618, 95617, 95616",daily,8.5,15,2.9,7.1,1.21,0.2,91,100,70,11,113,1,101.7,1.2
2016-01-27,27,6,metric,"95618, 95617, 95616",daily,10.6,17.6,5.9,7.3,1.83,0,80,98,52,10.9,137,1,146.4,1.7
2016-01-28,28,6,metric,"95618, 95617, 95616",daily,9.7,13.7,5.4,8.9,0.47,0.1,94,100,83,10.7,51,1.1,152.2,1.8
2016-01-29,29,6,metric,"95618, 95617, 95616",daily,12.8,15.2,10.8,12.5,0.38,1.8,98,100,88,11.1,42,1.4,319.7,3.7
2016-01-30,30,6,metric,"95618, 95617, 95616",daily,11.8,16.3,9,7.4,1.56,0,74,92,49,11.8,119,1,133.1,1.5
2016-01-31,31,6,metric,"95618, 95617, 95616",daily,9.6,13.1,6.7,1.2,3.41,0,56,92,37,11.5,119,0.7,528.8,6.1
2016-02-01,32,6,metric,"95618, 95617, 95616",daily,7.8,12.7,2.3,-2.8,3.18,0,47,80,35,10.4,147,0.5,430.3,5
2016-02-02,33,6,metric,"95618, 95617, 95616",daily,5.7,9,2.9,3.8,0.42,1.7,88,95,77,9.7,53,0.8,181.4,2.1
2016-02-03,34,6,metric,"95618, 95617, 95616",daily,7.1,11.3,2.3,4.8,1.02,0.1,85,97,68,9.5,97,0.9,114.8,1.3
2016-02-04,35,6,metric,"95618, 95617, 95616",daily,8.8,14.3,4,5.8,1.92,0,81,96,60,10,138,0.9,306.4,3.5
2016-02-05,36,6,metric,"95618, 95617, 95616",daily,7.9,16.6,1,5.1,1.67,0.1,82,100,52,9.7,143,0.9,83,1
2016-02-06,37,6,metric,"95618, 95617, 95616",daily,9.9,17.6,2.6,5.5,2.04,0,74,97,50,9.8,151,0.9,147.3,1.7
2016-02-07,38,6,metric,"95618, 95617, 95616",daily,12.3,20.6,6.3,7.5,2.13,0,72,95,48,10.2,156,1,165.5,1.9
2016-02-08,39,6,metric,"95618, 95617, 95616",daily,13.1,22.3,5.1,7.8,2.43,0,70,99,45,10.5,163,1.1,131.7,1.5
2016-02-09,40,6,metric,"95618, 95617, 95616",daily,12.8,21.2,5.4,8.6,2.17,0,76,98,50,10.8,149,1.1,132.6,1.5
2016-02-10,41,6,metric,"95618, 95617, 95616",daily,12.1,20.2,3.8,8.2,1.97,0,77,95,55,10.8,138,1.1,132.2,1.5
2016-02-11,42,6,metric,"95618, 95617, 95616",daily,13.2,21.1,5.9,9.8,1.78,0,80,100,56,11.1,138,1.2,73.4,0.9
2016-02-12,43,6,metric,"95618, 95617, 95616",daily,13.2,21.4,6.5,10.5,1.85,0,84,100,57,11.4,138,1.3,94.6,1.1
2016-02-13,44,6,metric,"95618, 95617, 95616",daily,14.2,22.4,6.8,7.9,2.87,0,66,98,39,11.6,171,1.1,182.8,2.1
2016-02-14,45,6,metric,"95618, 95617, 95616",daily,16.6,23.4,7.7,8.9,3.69,0,61,86,47,11.6,152,1.1,347.2,4
2016-02-15,46,6,metric,"95618, 95617, 95616",daily,17.4,25.8,9.4,10.3,3.07,0,63,90,41,12.4,177,1.3,205.2,2.4
2016-02-16,47,6,metric,"95618, 95617, 95616",daily,14.3,22.5,6.3,10.7,2.34,0,79,99,56,12.4,167,1.3,86.6,1
2016-02-17,48,6,metric,"95618, 95617, 95616",daily,15.2,20.4,9.8,10.1,2.61,8.5,71,90,49,12.7,118,1.2,390.8,4.5
2016-02-18,49,6,metric,"95618, 95617, 95616",daily,11.2,16.2,8.2,7.6,1.59,7,79,89,59,12.3,112,1,301.2,3.5
2016-02-19,50,6,metric,"95618, 95617, 95616",daily,10.4,15.8,6.3,8.3,1.33,0.7,87,95,64,11.8,101,1.1,227.4,2.6
2016-02-20,51,6,metric,"95618, 95617, 95616",daily,9.5,15.9,4.6,5.6,2.15,0,77,99,51,11.7,155,0.9,198.1,2.3
2016-02-21,52,6,metric,"95618, 95617, 95616",daily,10.3,18.8,2.4,6.4,2.43,0.1,77,97,49,11.2,188,1,122.1,1.4
2016-02-22,53,6,metric,"95618, 95617, 95616",daily,12.2,20.4,4.5,4.1,3.58,0,58,97,28,11.3,195,0.8,264.6,3.1
2016-02-23,54,6,metric,"95618, 95617, 95616",daily,11.8,20,3.7,2.8,2.79,0,54,78,31,11.2,192,0.7,140.3,1.6
2016-02-24,55,6,metric,"95618, 95617, 95616",daily,12.5,21.6,4.4,7.5,2.58,0,72,90,48,11.3,186,1,100.2,1.2
2016-02-25,56,6,metric,"95618, 95617, 95616",daily,16.9,22.5,9,8.4,2.64,0,57,90,41,11.9,195,1.1,82.9,1
2016-02-26,57,6,metric,"95618, 95617, 95616",daily,14.1,22.3,6.9,9.5,2.67,0,74,94,46,11.8,160,1.2,173.1,2
2016-02-27,58,6,metric,"95618, 95617, 95616",daily,12.5,18.7,6.2,8.7,2.26,0,77,98,55,12.1,158,1.1,157.9,1.8
2016-02-28,59,6,metric,"95618, 95617, 95616",daily,12.6,19.9,6.2,8.2,2.02,0,75,94,54,12,143,1.1,100.4,1.2
2016-02-29,60,6,metric,"95618, 95617, 95616",daily,14.2,24.2,6,7.1,3.06,0,62,95,31,12.1,205,1,138.2,1.6
2016-03-01,61,6,metric,"95618, 95617, 95616",daily,15.3,23.4,7.6,8.7,3.54,0,65,89,26,12.4,196,1.1,211.1,2.4
2016-03-02,62,6,metric,"95618, 95617, 95616",daily,14.9,22.3,7.6,11,2.9,0,78,98,54,12.9,189,1.3,164.8,1.9
2016-03-03,63,6,metric,"95618, 95617, 95616",daily,15.4,18.8,12.8,12.2,1.12,0.1,81,94,70,13.3,84,1.4,168.2,1.9
2016-03-04,64,6,metric,"95618, 95617, 95616",daily,15.4,18.6,12.3,14.5,0.64,15.3,94,100,81,13.6,67,1.6,180.1,2.1
2016-03-05,65,6,metric,"95618, 95617, 95616",daily,15.4,18.3,12.3,14.7,0.27,37.2,96,99,87,14.1,38,1.7,499.2,5.8
2016-03-06,66,6,metric,"95618, 95617, 95616",daily,12.3,16.5,9.5,7.7,2.39,3.9,74,97,61,13.9,145,1.1,337.7,3.9
2016-03-07,67,6,metric,"95618, 95617, 95616",daily,9.7,13.3,6.6,7.2,1.47,5,85,97,63,13,118,1,290.8,3.4
2016-03-08,68,6,metric,"95618, 95617, 95616",daily,9.8,14.3,3.1,4.8,1.74,0,71,92,54,12.1,129,0.9,155.4,1.8
2016-03-09,69,6,metric,"95618, 95617, 95616",daily,12.8,16.7,9,10.9,1.18,0.4,88,98,72,12.4,98,1.3,182.4,2.1
2016-03-10,70,6,metric,"95618, 95617, 95616",daily,13.9,16.9,11.9,12.6,0.31,18.4,92,100,75,13,44,1.5,183.7,2.1
2016-03-11,71,6,metric,"95618, 95617, 95616",daily,11.6,14.8,8.8,10.2,0.97,9.7,91,100,68,13.1,81,1.2,300.2,3.5
2016-03-12,72,6,metric,"95618, 95617, 95616",daily,11.2,13.7,8.5,9.6,0.9,9.2,90,100,74,12.6,75,1.2,362,4.2
2016-03-13,73,6,metric,"95618, 95617, 95616",daily,12.4,14,10.6,11.9,0.21,17.5,97,99,93,12.5,45,1.4,463.4,5.4
2016-03-14,74,6,metric,"95618, 95617, 95616",daily,12.9,18,7.7,7.3,3.11,0,69,93,45,12.9,217,1,178.7,2.1
2016-03-15,75,6,metric,"95618, 95617, 95616",daily,12,19.3,5.5,5.3,3.51,0,64,92,38,12.9,236,0.9,190.5,2.2
2016-03-16,76,6,metric,"95618, 95617, 95616",daily,13.9,21.8,5.6,7.8,3.88,0,67,94,45,12.8,234,1.1,199.7,2.3
2016-03-17,77,6,metric,"95618, 95617, 95616",daily,15.4,25.7,6.8,9.8,3.73,0,69,99,36,13.1,243,1.2,136.3,1.6
2016-03-18,78,6,metric,"95618, 95617, 95616",daily,14.7,22.9,6.9,10.5,3.64,0,76,98,43,13.6,240,1.3,155.7,1.8
2016-03-19,79,6,metric,"95618, 95617, 95616",daily,14.9,23.2,7.9,11.2,3.39,0,79,100,55,14.1,212,1.3,187,2.2
2016-03-20,80,6,metric,"95618, 95617, 95616",daily,14.6,18.8,11.7,11.7,1.84,0.9,83,93,68,14.3,127,1.4,319.9,3.7
2016-03-21,81,6,metric,"95618, 95617, 95616",daily,12.7,17.9,9.1,9.2,2.15,3.9,79,95,69,14,125,1.2,327.1,3.8
2016-03-22,82,6,metric,"95618, 95617, 95616",daily,11.9,18,5.7,4.8,3.66,0,62,89,38,13.5,259,0.9,162.7,1.9
2016-03-23,83,6,metric,"95618, 95617, 95616",daily,13.4,21.1,6.4,6.4,3.96,0,62,89,40,13.3,247,1,213,2.5
