Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2016-01-01,1,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,6.6, ,12.1, ,2.0, ,2.7, ,0.98, ,0.0, ,76.0, ,88.0, ,59.0, ,7.8, ,88, ,0.7, ,150.6, ,1.7, ,153,36.625619,-121.537889
2016-01-02,2,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,9.6, ,14.9, ,5.8, ,4.5, ,0.95, ,0.0, ,71.0, ,87.0, ,49.0, ,8.3, ,68, ,0.8, ,89.7, ,1.0, ,153,36.625619,-121.537889
2016-01-03,3,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,12.2, ,16.7, ,9.0, ,6.5, ,1.26, ,0.0, ,68.0, ,83.0, ,44.0, ,9.1, ,63, ,1.0, ,182.0, ,2.1, ,153,36.625619,-121.537889
2016-01-04,4,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,12.5, ,17.1, ,9.3, ,9.0, ,1.23, ,0.7, ,79.0, ,89.0, ,67.0, ,9.8, ,83, ,1.1, ,206.3, ,2.4, ,153,36.625619,-121.537889
2016-01-05,5,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,11.2, ,13.6, ,7.4, ,9.7, ,0.31, ,10.5, ,90.0, ,97.0, ,78.0, ,10.5, ,34, ,1.2, ,182.6, ,2.1, ,153,36.625619,-121.537889
2016-01-06,6,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,9.2, ,10.9, ,7.2, ,7.7, ,0.1, ,19.9, ,90.0, ,96.0, ,83.0, ,9.9, ,23, ,1.0, ,159.0, ,1.8, ,153,36.625619,-121.537889
2016-01-07,7,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,9.2, ,13.4, ,6.3, ,7.1, ,1.22, ,2.6, ,87.0, ,96.0, ,68.0, ,9.7, ,106, ,1.0, ,126.2, ,1.5, ,153,36.625619,-121.537889
2016-01-08,8,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,8.8, ,14.0, ,4.3, ,6.2, ,1.18, ,0.1, ,84.0, ,98.0, ,63.0, ,9.5, ,102, ,1.0, ,112.6, ,1.3, ,153,36.625619,-121.537889
2016-01-09,9,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,10.5, ,13.2, ,8.3, ,8.0, ,0.82, ,0.0, ,85.0, ,95.0, ,72.0, ,9.8, ,60, ,1.1, ,184.4, ,2.1, ,153,36.625619,-121.537889
2016-01-10,10,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,11.9, ,15.1, ,8.8, ,9.6, ,0.82, ,0.0, ,86.0, ,94.0, ,68.0, ,10.3, ,69, ,1.2, ,101.3, ,1.2, ,153,36.625619,-121.537889
2016-01-11,11,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,11.7, ,16.1, ,9.2, ,9.3, ,1.12, ,0.0, ,85.0, ,94.0, ,67.0, ,10.7, ,88, ,1.2, ,122.3, ,1.4, ,153,36.625619,-121.537889
2016-01-12,12,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,11.7, ,17.8, ,7.6, ,7.9, ,1.54, ,0.0, ,78.0, ,94.0, ,55.0, ,10.7, ,111, ,1.1, ,161.7, ,1.9, ,153,36.625619,-121.537889
2016-01-13,13,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,11.4, ,16.1, ,6.8, ,8.0, ,1.39, ,2.0, ,80.0, ,96.0, ,65.0, ,10.8, ,103, ,1.1, ,150.3, ,1.7, ,153,36.625619,-121.537889
2016-01-14,14,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,9.7, ,14.7, ,4.7, ,7.1, ,1.13, ,0.0, ,84.0, ,97.0, ,66.0, ,10.2, ,94, ,1.0, ,129.5, ,1.5, ,153,36.625619,-121.537889
2016-01-15,15,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,12.7, ,19.4, ,8.6, ,9.0, ,1.5, ,0.0, ,78.0, ,93.0, ,56.0, ,10.9, ,120, ,1.1, ,86.3, ,1.0, ,153,36.625619,-121.537889
2016-01-16,16,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,13.0, ,16.5, ,10.5, ,11.5, ,0.84, ,4.1, ,91.0, ,100.0, ,78.0, ,11.4, ,68, ,1.4, ,155.2, ,1.8, ,153,36.625619,-121.537889
2016-01-17,17,214,metric,"93901, 93902, 93905, 93906, 93907, 93908, 93912, 93915, 93962",daily,12.9, ,16.1, ,10.2, ,11.8, ,0.51, ,3.5, ,93.0, ,100.0, ,85.0, ,11.7, ,51, ,1.4, ,121.3, ,1.4, ,153,36.625619,-121.537889
