Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2024-01-01,1,178,metric,94595,daily,8.9, ,15.8, ,3.5, ,6.7, ,1.37, ,0.1, ,86.0, ,97.0, ,60.0, ,11.7, ,116.0, ,1.0, ,100.2, ,1.2, ,510,37.837614,-122.14074
2024-01-02,2,178,metric,94595,daily,8.4, ,15.3, ,3.0, ,6.1, ,0.96, ,13.3, ,86.0, ,98.0, ,52.0, ,11.1, ,69.0, ,0.9, ,146.0, ,1.7, ,510,37.837614,-122.14074
2024-01-03,3,178,metric,94595,daily,8.2, ,12.4, ,3.6, ,6.0, ,1.0, ,8.7, ,86.0, ,96.0, ,67.0, ,11.0, ,81.0, ,0.9, ,126.3, ,1.5, ,510,37.837614,-122.14074
2024-01-04,4,178,metric,94595,daily,7.7, ,15.1, ,2.9, ,4.8, ,1.41, ,0.1, ,82.0, ,97.0, ,54.0, ,10.5, ,116.0, ,0.9, ,97.6, ,1.1, ,510,37.837614,-122.14074
2024-01-05,5,178,metric,94595,daily,8.7, ,15.8, ,1.3, ,6.0, ,1.4, ,0.0, ,83.0, ,97.0, ,52.0, ,10.7, ,117.0, ,0.9, ,111.8, ,1.3, ,510,37.837614,-122.14074
2024-01-06,6,178,metric,94595,daily,5.9, ,11.6, ,-0.3, ,3.0, ,0.62, ,5.8, ,81.0, ,97.0, ,60.0, ,10.0, ,40.0, ,0.8, ,178.4, ,2.1, ,510,37.837614,-122.14074
2024-01-07,7,178,metric,94595,daily,3.9, ,10.9, ,-1.5, ,-0.6, ,1.45, ,0.0, ,72.0, ,94.0, ,40.0, ,9.5, ,127.0, ,0.6, ,116.7, ,1.4, ,510,37.837614,-122.14074
2024-01-08,8,178,metric,94595,daily,5.0, ,13.7, ,-1.6, ,1.0, ,1.35, ,0.1, ,75.0, ,95.0, ,33.0, ,8.8, ,115.0, ,0.7, ,76.6, ,0.9, ,510,37.837614,-122.14074
2024-01-09,9,178,metric,94595,daily,8.4, ,13.0, ,2.9, ,6.4, ,0.66, ,3.2, ,87.0, ,94.0, ,64.0, ,9.4, ,59.0, ,1.0, ,149.8, ,1.7, ,510,37.837614,-122.14074
2024-01-10,10,178,metric,94595,daily,7.3, ,11.4, ,0.4, ,5.2, ,0.4, ,9.3, ,86.0, ,95.0, ,61.0, ,9.3, ,30.0, ,0.9, ,208.6, ,2.4, ,510,37.837614,-122.14074
