station_id,PoorFrac_2016,PoorFrac_2023,PoorFrac_10yr_avg
2.0,0.81,0.11,0.48
6.0,0.06,0.01,0.07
7.0,0.14,0.0,0.08
12.0,0.0,0.0,0.02
13.0,0.95,0.78,0.9
15.0,0.57,0.27,0.43
35.0,0.0,0.0,0.02
39.0,0.1,0.03,0.09
41.0,0.0,0.12,0.15
43.0,0.02,0.0,0.01
44.0,0.12,0.07,0.09
47.0,0.06,0.03,0.05
52.0,0.0,0.0,0.0
64.0,0.99,0.98,0.0
68.0,0.46,0.52,0.37
70.0,0.03,0.01,0.06
71.0,0.0,0.99,0.01
75.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0
78.0,0.0,0.0,0.01
80.0,0.66,0.11,0.35
83.0,0.0,0.0,0.0
84.0,0.3,0.42,0.37
87.0,0.62,0.42,0.44
90.0,0.0,0.0,0.01
91.0,0.0,0.0,0.0
99.0,0.98,0.0,0.0
104.0,0.0,0.0,0.0
105.0,0.76,0.66,0.71
106.0,0.0,0.0,0.0
107.0,0.99,0.99,0.0
113.0,0.0,0.99,0.0
114.0,0.99,0.98,0.0
117.0,0.9,0.68,0.84
124.0,0.28,0.05,0.13
125.0,,,0.27
126.0,0.0,0.0,0.0
129.0,0.98,0.0,0.01
131.0,0.08,0.03,0.08
140.0,0.24,0.24,0.35
144.0,0.99,0.0,0.0
146.0,0.0,0.05,0.05
147.0,0.0,0.0,0.0
150.0,0.99,0.0,0.0
151.0,0.13,0.45,0.12
152.0,0.99,0.99,0.0
153.0,0.99,0.0,0.0
157.0,0.0,0.0,0.0
158.0,0.0,0.0,0.0
160.0,0.99,0.0,0.0
163.0,0.01,0.0,0.0
165.0,0.99,0.0,0.0
170.0,0.0,0.0,0.03
171.0,0.0,0.0,0.0
173.0,0.0,0.0,0.0
174.0,0.0,0.0,0.0
175.0,0.27,0.96,0.38
178.0,0.01,0.02,0.03
179.0,0.28,0.0,0.06
181.0,0.13,0.08,0.11
182.0,0.11,0.0,0.1
184.0,0.0,0.0,0.0
187.0,0.01,0.99,0.01
191.0,0.03,0.0,0.01
192.0,0.15,0.07,0.07
193.0,0.99,0.0,0.0
194.0,0.13,0.0,0.1
195.0,0.54,0.25,0.42
197.0,0.41,0.28,0.47
199.0,0.0,0.01,0.01
200.0,0.68,0.83,0.75
202.0,0.99,0.99,0.0
204.0,0.16,0.25,0.24
206.0,0.06,0.0,0.06
207.0,0.38,0.0,0.11
208.0,0.25,0.72,0.41
209.0,0.0,0.0,0.0
210.0,0.99,0.0,0.0
212.0,0.29,0.08,0.24
213.0,0.01,0.0,0.0
214.0,0.0,0.0,0.0
215.0,0.0,0.0,0.02
216.0,0.0,0.0,0.02
217.0,0.0,0.0,0.0
218.0,0.3,0.54,0.49
219.0,0.0,0.0,0.0
220.0,0.73,0.33,0.69
221.0,0.93,0.9,0.92
222.0,0.06,0.05,0.08
223.0,,0.0,0.01
225.0,0.0,0.0,0.0
226.0,0.11,0.01,0.08
227.0,0.32,0.32,0.31
228.0,0.83,0.45,0.66
229.0,0.0,0.0,0.0
235.0,0.0,0.01,0.03
236.0,0.0,0.0,0.0
237.0,0.01,0.18,0.11
240.0,0.14,0.18,0.17
241.0,0.0,0.0,0.0
242.0,0.0,0.01,0.03
243.0,0.12,0.03,0.14
244.0,0.01,0.06,0.06
245.0,0.0,0.0,0.0
247.0,0.0,0.03,0.22
248.0,0.98,0.0,0.01
249.0,0.0,0.01,0.04
250.0,0.89,0.01,0.06
251.0,,0.26,0.21
252.0,,0.0,0.0
253.0,,0.0,0.0
254.0,,0.99,0.0
256.0,,0.59,0.51
258.0,,0.04,0.03
259.0,,0.5,0.02
260.0,,0.0,0.08
261.0,,0.0,0.01
262.0,,0.0,0.0
264.0,,0.0,0.03
265.0,,0.01,0.07
266.0,,0.01,0.02
267.0,,0.01,0.01
268.0,,,0.0
