StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
207,Borrego Springs,Borrego Springs,Southern Region Office,San Diego,1/4/2008,12/31/2050,True,True,578,Grass,33.268447,-116.36505,['92004'],
208,La Quinta II,La Quinta,Southern Region Office,Riverside,2/6/2007,12/31/2050,True,True,36,Grass,33.678186,-116.27299,"['92253', '92211', '92210', '92203', '92202', '92201']",
209,Watsonville West II,Watsonville,South Central Region Office,Santa Cruz,6/13/2007,12/31/2050,True,True,240,Grass,36.913083,-121.82365,"['95077', '95076', '95075', '95019', '95018']",
210,Carmel,Carmel,South Central Region Office,Monterey,7/22/2008,12/31/2050,True,True,75,Grass,36.540889,-121.88196,"['93923', '93921', '93953', '93922', '93924']",
211,Gilroy,Gilroy,North Central Region Office,Santa Clara,9/1/2009,12/31/2050,True,False,185,Grass,37.015026,-121.53704,['95020'],
212,Hastings Tract East,Dixon,North Central Region Office,Solano,10/20/2009,12/31/2050,True,True,7,Grass,38.278056,-121.74111,"['94571', '95620']",
213,El Cerrito,El Cerrito,North Central Region Office,Contra Costa,9/24/2013,12/31/2050,True,True,596,Grass,37.931539,-122.302714,"['94530', '94805', '94802', '94808', '94804', '94850', '94708', '94707', '94706', '94806']",
214,Salinas South II,Salinas,South Central Region Office,Monterey,5/17/2013,12/31/2050,True,True,153,Grass,36.625619,-121.537889,"['93901', '93902', '93905', '93906', '93907', '93908', '93912', '93915', '93962']",
215,Chatsworth,Chatsworth,Southern Region Office,Los Angeles,9/1/2011,12/31/2050,True,True,1536,Grass,34.291331,-118.57004,"['91326', '91327', '91311', '91344', '91313', '91394']",
216,Arleta,Arleta,Southern Region Office,Los Angeles,9/8/2011,12/31/2050,True,True,980,Grass,34.256111,-118.38278,"['91040', '91331', '91352']",
217,Moorpark,Moorpark,Southern Region Office,Ventura,7/3/2014,12/31/2050,True,True,718,Grass,34.269031,-118.849319,"['91360', '91362', '93021', '93065']",
218,Thermal South,Thermal,Southern Region Office,Riverside,1/30/2010,12/31/2050,True,True,-150,Grass,33.595694,-116.15811,['92274'],
219,West Hills,West Hills,Southern Region Office,Los Angeles,9/6/2011,12/31/2050,True,True,926,Grass,34.214197,-118.64477,"['91303', '91304', '91306', '91308', '91311', '91367']",
220,Palmdale Central,Palmdale,Southern Region Office,Los Angeles,3/23/2011,12/31/2050,True,True,2630,Grass,34.592222,-118.1275,['93550'],
221,Cadiz Valley,Chambless,Southern Region Office,San Bernardino,11/1/2010,10/10/2050,True,True,155,Grass,34.513611,-115.51056,"['92304', '92332', '92338']",
222,Gerber South,Gerber,Northern Region Office,Tehama,8/13/2014,12/31/2050,True,True,246,Grass,40.040006,-122.154539,"['96035', '96055', '96078', '96080', '96090', '96092']",
223,North Hollywood,Universal City,Southern Region Office,Los Angeles,1/30/2018,5/28/2050,True,True,570,Grass,34.142911,-118.36632,"['91602', '91618', '91604']",
224,Shasta College,Redding,Northern Region Office,Shasta,1/1/2013,12/31/2050,True,True,592,Grass,40.63,-122.31,[''],
225,Scott Valley,Fort Jones,Northern Region Office,Siskiyou,4/1/2015,12/31/2050,True,True,2733,Grass,41.577778,-122.838125,[''],
226,Woodland,Woodland,North Central Region Office,Yolo,5/12/2011,12/31/2050,True,True,82,Grass,38.672722,-121.81172,"['95695', '95776', '95627']",
227,Plymouth,Plymouth,North Central Region Office,Amador,11/1/2010,12/31/2050,True,True,1520,Grass,38.508333,-120.79972,"['95669', '95629', '95685']",
228,Diamond Springs,Diamond Springs,North Central Region Office,El Dorado,9/29/2010,12/31/2050,True,True,2050,Grass,38.636111,-120.79305,"['95619', '95623', '95667', '95684']",
229,Laguna Seca,Monterey,South Central Region Office,Monterey,1/1/2011,12/31/2050,True,True,320,Grass,36.570111,-121.7865,"['93940', '93955', '93943']",
230,Santa Barbara II,Santa Barbara,Southern Region Office,Santa Barbara,1/10/2011,1/23/2018,False,False,440,Grass,34.405556,-119.715,['93109'],
231,Lompoc,Lompoc,Southern Region Office,Santa Barbara,7/14/2010,12/31/2050,True,False,55,Grass,34.672222,-120.51306,"['93436', '93437', '93438']",
232,Santa Maria II,Santa Maria,Southern Region Office,Santa Barbara,4/1/2011,12/31/2050,True,False,215,Grass,34.913472,-120.46478,"['93454', '93458', '93955', '93456', '93457', '93455', '93429']",
233,Joshua Tree,Joshua Tree,Southern Region Office,San Bernardino,12/1/2011,12/31/2050,True,False,2483,Bare,34.138147,-116.21319,"['92252', '92278', '92284']",
234,Newberry Springs II,Newberry Springs,Southern Region Office,San Bernardino,2/25/2015,11/29/2020,False,True,1930,Grass,34.883472,-116.810247,"['92311', '92312', '92327', '92365', '92398']",
235,Verona,Nicolaus,North Central Region Office,Sutter,5/18/2012,12/31/2050,True,True,24,Alfalfa,38.797944,-121.61136,"['95659', '95668', '95676', '95836', '95645', '95697', '95776']",
236,Macdoel II,Macdoel,Northern Region Office,Siskiyou,4/16/2015,12/31/2050,True,True,4265,Grass,41.802476,-121.996159,"['96058', '96023']",
237,Temecula East III,Temecula,Southern Region Office,Riverside,11/1/2012,12/31/2050,True,True,1530,Grass,33.55281,-117.043302,"['92589', '92590', '92591', '92592', '92596', '92593', '92544', '92543']",
238,Moreno Valley,Moreno Valley,Southern Region Office,Riverside,4/19/2013,4/24/2018,False,True,1604,Grass,33.9,-117.17,"['92518', '92551', '92554', '92555', '92556']",
239,Hemet,Hemet,Southern Region Office,Riverside,1/22/2015,12/31/2050,True,False,1768,Grass,33.664747,-116.955121,"['92543', '92544', '92593', '92596', '92546', '92545']",
240,Perris - Menifee,Perris,Southern Region Office,Riverside,5/25/2013,12/31/2050,True,True,1421,Grass,33.76,-117.2,"['92548', '92570', '92572', '92584', '92585', '92586', '92587']",
241,San Clemente,San Clemente,Southern Region Office,Orange,7/28/2015,12/31/2050,True,True,224,Grass,33.4625,-117.586111,"['92672', '92673', '92675', '92693']",
242,Staten Island,Walnut Grove,North Central Region Office,San Joaquin,11/5/2015,12/31/2050,True,True,-10,Grass,38.192397,-121.510261,"['95686', '95242', '95641', '95690', '95680']",
243,Ryde,Walnut Grove,North Central Region Office,Sacramento,12/16/2015,12/31/2050,True,True,-10,Grass,38.249622,-121.555528,"['95690', '95680', '95615', '95641', '95686']",
244,Biggs,Biggs,Northern Region Office,Butte,6/18/2015,12/31/2050,True,True,72,Grass,39.386632,-121.835278,"['95917', '95920', '95932', '95948', '95970']",
245,Coto de Caza,Coto de Caza,Southern Region Office,Orange,10/7/2015,12/31/2050,True,True,846,Grass,33.621667,-117.585278,"['92678', '92679', '92691', '92692', '92694']",
246,Markleeville,Markleeville,North Central Region Office,Alpine,6/13/2014,12/31/2050,True,True,5517,Grass,38.773409,-119.79193,"['96120', '96133']",
247,Jersey Island,Oakley,North Central Region Office,Contra Costa,7/1/2016,12/31/2050,True,True,-12,Grass,38.033386,-121.701247,"['95219', '94511', '94571', '94561', '94513']",
248,Holt,Stockton,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,-3,Grass,37.932072,-121.396661,"['95206', '95234', '95203', '95219']",
249,Ripon,Manteca,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,20,Grass,37.755597,-121.266153,"['95337', '95304', '95330', '95336']",
250,Williams,Williams,Northern Region Office,Colusa,8/9/2016,12/31/2050,True,True,69,Grass,39.210667,-122.168889,"['95987', '95955', '95932', '95912']",
251,Highland,Highland,Southern Region Office,San Bernardino,10/10/2016,12/31/2050,True,True,1275,Grass,34.112042,-117.1857,"['92346', '92374']",
252,Soledad II,Soledad,South Central Region Office,Monterey,9/3/2016,12/31/2050,True,True,214,Grass,36.456728,-121.344388,"['93926', '93960']",
253,Pescadero,Pescadero,North Central Region Office,San Mateo,8/24/2017,12/31/2050,True,True,47,Grass,37.255333,-122.3708,"['94060', '94074', '94019', '94062', '95017', '95060']",
254,Oakland Metro,Oakland,North Central Region Office,Alameda,3/12/2018,12/31/2050,True,True,14,Grass,37.718167,-122.197111,"['94577', '94579', '94603', '94621', '94502']",
255,Chino,Chino,Southern Region Office,San Bernardino,3/8/2018,8/11/2020,False,True,637,Alfalfa,33.98535,-117.656528,"['91708', '91710']",
256,Lancaster,Lancaster,Southern Region Office,Los Angeles,7/26/2018,12/31/2050,True,True,2340,Alfalfa,34.759475,-117.991997,"['93523', '93524', '93535', '93560']",
257,Ridgecrest,Ridgecrest,Southern Region Office,Kern,10/10/2018,12/31/2050,True,False,2234,Grass,35.659128,-117.636925,"['93554', '93555', '93556']",
258,Lemon Cove,Lemon Cove,South Central Region Office,Tulare,11/15/2018,12/31/2050,True,True,498,Grass,36.376917,-119.037972,"['93221', '93244', '93286']",
259,Ferndale Plain,Ferndale,Northern Region Office,Humboldt,8/5/2019,12/30/2050,True,True,21,Grass,40.604467,-124.243186,"['95536', '95540', '95551']",
260,Montague,Montague,Northern Region Office,Siskiyou,9/20/2019,12/31/2050,True,True,2663,Grass,41.798331,-122.463425,"['96038', '96044', '96064', '96097']",
261,Gazelle,Gazelle,Northern Region Office,Siskiyou,9/18/2019,12/31/2050,True,True,2743,Grass,41.533989,-122.532279,"['96034', '96038', '96064', '96094']",
262,Linden,Linden,North Central Region Office,San Joaquin,2/26/2020,12/31/2050,True,True,111,Grass,38.065692,-121.071747,"['95240', '95236', '95227', '95237', '95252', '95212', '95215']",
263,Smith River,Crescent City,Northern Region Office,Del Norte,10/7/2020,12/31/2050,True,True,22,Grass,41.894592,-124.165043,"['95532', '95567']",
264,Sierra Valley Center,Portola,Northern Region Office,Plumas,10/28/2020,12/31/2050,True,True,4898,Grass,39.777452,-120.273609,"['96106', '96118', '96122', '96129', '96135']",
265,Paso Robles,Paso Robles,Southern Region Office,San Luis Obispo,3/1/2022,12/31/2050,True,True,764,Grass,35.692266,-120.64855,"['93426', '93446', '93447', '93451', '93465']",
266,Shandon,Shandon,Southern Region Office,San Luis Obispo,8/1/2022,12/31/2050,True,True,1105,Grass,35.643787,-120.403229,"['93461', '93432', '93447']",
267,Johnstonville,Johnstonville,Northern Region Office,Lassen,4/27/2022,12/31/2050,True,True,4112,Grass,40.364578,-120.559397,"['96114', '96128', '96127']",
268,Nubieber,Nubieber,Northern Region Office,Lassen,11/22/2023,12/31/2030,True,True,4122,Grass,41.1059,-121.1657,"['96068', '96009', '96056', '96054', '96006']",
