,StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
244,245,Coto de Caza,Coto de Caza,Southern Region Office,Orange,10/7/2015,12/31/2050,True,True,846,Grass,33.621667,-117.585278,"['92678', '92679', '92691', '92692', '92694']",
245,246,Markleeville,Markleeville,North Central Region Office,Alpine,6/13/2014,12/31/2050,True,True,5517,Grass,38.773409,-119.79193,"['96120', '96133']",
246,247,Jersey Island,Oakley,North Central Region Office,Contra Costa,7/1/2016,12/31/2050,True,True,-12,Grass,38.033386,-121.701247,"['95219', '94511', '94571', '94561', '94513']",
247,248,Holt,Stockton,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,-3,Grass,37.932072,-121.396661,"['95206', '95234', '95203', '95219']",
248,249,Ripon,Manteca,North Central Region Office,San Joaquin,7/1/2016,12/31/2050,True,True,20,Grass,37.755597,-121.266153,"['95337', '95304', '95330', '95336']",
249,250,Williams,Williams,Northern Region Office,Colusa,8/9/2016,12/31/2050,True,True,69,Grass,39.210667,-122.168889,"['95987', '95955', '95932', '95912']",
250,251,Highland,Highland,Southern Region Office,San Bernardino,10/10/2016,12/31/2050,True,True,1275,Grass,34.112042,-117.1857,"['92346', '92374']",
251,252,Soledad II,Soledad,South Central Region Office,Monterey,9/3/2016,12/31/2050,True,True,214,Grass,36.456728,-121.344388,"['93926', '93960']",
252,253,Pescadero,Pescadero,North Central Region Office,San Mateo,8/24/2017,12/31/2050,True,True,47,Grass,37.255333,-122.3708,"['94060', '94074', '94019', '94062', '95017', '95060']",
253,254,Oakland Metro,Oakland,North Central Region Office,Alameda,3/12/2018,12/31/2050,True,True,14,Grass,37.718167,-122.197111,"['94577', '94579', '94603', '94621', '94502']",
255,256,Lancaster,Lancaster,Southern Region Office,Los Angeles,7/26/2018,12/31/2050,True,True,2340,Alfalfa,34.759475,-117.991997,"['93523', '93524', '93535', '93560']",
257,258,Lemon Cove,Lemon Cove,South Central Region Office,Tulare,11/15/2018,12/31/2050,True,True,498,Grass,36.376917,-119.037972,"['93221', '93244', '93286']",
258,259,Ferndale Plain,Ferndale,Northern Region Office,Humboldt,8/5/2019,12/30/2050,True,True,21,Grass,40.604467,-124.243186,"['95536', '95540', '95551']",
259,260,Montague,Montague,Northern Region Office,Siskiyou,9/20/2019,12/31/2050,True,True,2663,Grass,41.798331,-122.463425,"['96038', '96044', '96064', '96097']",
260,261,Gazelle,Gazelle,Northern Region Office,Siskiyou,9/18/2019,12/31/2050,True,True,2743,Grass,41.533989,-122.532279,"['96034', '96038', '96064', '96094']",
261,262,Linden,Linden,North Central Region Office,San Joaquin,2/26/2020,12/31/2050,True,True,111,Grass,38.065692,-121.071747,"['95240', '95236', '95227', '95237', '95252', '95212', '95215']",
262,263,Smith River,Crescent City,Northern Region Office,Del Norte,10/7/2020,12/31/2050,True,True,22,Grass,41.894592,-124.165043,"['95532', '95567']",
263,264,Sierra Valley Center,Portola,Northern Region Office,Plumas,10/28/2020,12/31/2050,True,True,4898,Grass,39.777452,-120.273609,"['96106', '96118', '96122', '96129', '96135']",
264,265,Paso Robles,Paso Robles,Southern Region Office,San Luis Obispo,3/1/2022,12/31/2050,True,True,764,Grass,35.692266,-120.64855,"['93426', '93446', '93447', '93451', '93465']",
265,266,Shandon,Shandon,Southern Region Office,San Luis Obispo,8/1/2022,12/31/2050,True,True,1105,Grass,35.643787,-120.403229,"['93461', '93432', '93447']",
266,267,Johnstonville,Johnstonville,Northern Region Office,Lassen,4/27/2022,12/31/2050,True,True,4112,Grass,40.364578,-120.559397,"['96114', '96128', '96127']",
267,268,Nubieber,Nubieber,Northern Region Office,Lassen,11/22/2023,12/31/2030,True,True,4122,Grass,41.1059,-121.1657,"['96068', '96009', '96056', '96054', '96006']",
