Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2019-01-01,1,114,metric,93927,daily,4.3, ,15.2, ,-3.4, ,-3.1, ,1.47, ,0.0, ,59.0, ,88, ,27, ,7.1, ,129, ,0.5, ,106.1, ,1.2, ,235,36.347306,-121.29135
2019-01-02,2,114,metric,93927,daily,4.9, ,15.4, ,-2.3, ,-2.2, ,1.54, ,0.0, ,60.0, ,90, ,26, ,6.8, ,131, ,0.5, ,114.4, ,1.3, ,235,36.347306,-121.29135
2019-01-03,3,114,metric,93927,daily,6.0, ,17.8, ,-1.0, ,-0.9, ,1.62, ,0.0, ,61.0, ,86, ,30, ,6.9, ,132, ,0.6, ,115.2, ,1.3, ,235,36.347306,-121.29135
2019-01-04,4,114,metric,93927,daily,8.4, ,18.6, ,0.1, ,-0.4, ,2.29, ,0.0, ,54.0, ,88, ,21, ,7.2, ,132, ,0.6, ,225.2, ,2.6, ,235,36.347306,-121.29135
2019-01-05,5,114,metric,93927,daily,9.4, ,11.7, ,4.9, ,7.5, ,0.43, ,8.5, ,88.0, ,100, ,76, ,8.4, ,23, ,1.0, ,334.2, ,3.9, ,235,36.347306,-121.29135
2019-01-06,6,114,metric,93927,daily,9.2, ,15.1, ,3.5, ,8.5, ,0.36, ,9.9, ,96.0, ,100, ,80, ,8.7, ,38, ,1.1, ,269.4, ,3.1, ,235,36.347306,-121.29135
2019-01-07,7,114,metric,93927,daily,13.3, ,18.0, ,10.3, ,10.9, ,1.08, ,0.0, ,85.0, ,98, ,66, ,10.6, ,82, ,1.3, ,161.6, ,1.9, ,235,36.347306,-121.29135
2019-01-08,8,114,metric,93927,daily,14.0, ,17.8, ,10.3, ,10.7, ,1.39, ,0.0, ,81.0, ,94, ,67, ,11.5, ,81, ,1.3, ,326.9, ,3.8, ,235,36.347306,-121.29135
2019-01-09,9,114,metric,93927,daily,12.8, ,15.5, ,6.4, ,11.3, ,0.9, ,0.1, ,90.0, ,100, ,80, ,12.1, ,70, ,1.3, ,272.5, ,3.2, ,235,36.347306,-121.29135
2019-01-10,10,114,metric,93927,daily,10.0, ,16.1, ,6.3, ,8.9, ,1.21, ,0.0, ,93.0, ,100, ,77, ,11.3, ,102, ,1.1, ,148.1, ,1.7, ,235,36.347306,-121.29135
2019-01-11,11,114,metric,93927,daily,11.6, ,17.4, ,7.6, ,9.1, ,1.17, ,4.4, ,84.0, ,98, ,59, ,11.0, ,73, ,1.2, ,267.4, ,3.1, ,235,36.347306,-121.29135
2019-01-12,12,114,metric,93927,daily,11.8, ,16.8, ,7.1, ,8.7, ,1.78, ,0.5, ,81.0, ,96, ,58, ,11.6, ,132, ,1.1, ,217.2, ,2.5, ,235,36.347306,-121.29135
2019-01-13,13,114,metric,93927,daily,9.9, ,15.0, ,4.5, ,7.3, ,1.09, ,0.0, ,84.0, ,96, ,63, ,10.6, ,84, ,1.0, ,158.6, ,1.8, ,235,36.347306,-121.29135
2019-01-14,14,114,metric,93927,daily,10.1, ,12.4, ,8.1, ,8.5, ,0.32, ,8.0, ,90.0, ,97, ,82, ,10.6, ,34, ,1.1, ,181.4, ,2.1, ,235,36.347306,-121.29135
2019-01-15,15,114,metric,93927,daily,11.4, ,13.0, ,9.6, ,10.1, ,0.39, ,13.2, ,92.0, ,96, ,84, ,10.9, ,40, ,1.2, ,350.7,Y,4.1,Y,235,36.347306,-121.29135
2019-01-16,16,114,metric,93927,daily,14.0, ,16.0, ,11.6, ,12.2, ,0.49, ,14.7, ,89.0, ,96, ,72, ,11.8, ,30, ,1.4, ,408.2,R,4.7,R,235,36.347306,-121.29135
2019-01-17,17,114,metric,93927,daily,13.6, ,16.2, ,10.6, ,11.3, ,0.48, ,1.2, ,87.0, ,98, ,71, ,12.7, ,42, ,1.3, ,110.0, ,1.3, ,235,36.347306,-121.29135
2019-01-18,18,114,metric,93927,daily,12.7, ,18.2, ,8.4, ,8.9, ,1.78, ,0.0, ,78.0, ,98, ,45, ,12.5, ,130, ,1.1, ,88.2, ,1.0, ,235,36.347306,-121.29135
2019-01-19,19,114,metric,93927,daily,12.5, ,20.2, ,6.9, ,9.6, ,1.89, ,0.0, ,83.0, ,98, ,58, ,12.2, ,137, ,1.2, ,127.5, ,1.5, ,235,36.347306,-121.29135
2019-01-20,20,114,metric,93927,daily,11.9, ,19.6, ,8.1, ,9.9, ,1.48, ,0.2, ,87.0, ,100, ,68, ,12.4, ,106, ,1.2, ,195.8, ,2.3, ,235,36.347306,-121.29135
2019-01-21,21,114,metric,93927,daily,9.7, ,14.6, ,6.3, ,6.6, ,1.89, ,2.1, ,81.0, ,98, ,57, ,11.8, ,137, ,1.0, ,172.0, ,2.0, ,235,36.347306,-121.29135
2019-01-22,22,114,metric,93927,daily,7.7, ,15.7, ,1.3, ,2.5, ,1.85, ,0.0, ,69.0, ,97, ,37, ,10.3, ,136, ,0.7, ,122.5, ,1.4, ,235,36.347306,-121.29135
2019-01-23,23,114,metric,93927,daily,8.2, ,17.3, ,0.9, ,3.5, ,1.99, ,0.0, ,73.0, ,92, ,43, ,9.6, ,152, ,0.8, ,154.3, ,1.8, ,235,36.347306,-121.29135
2019-01-24,24,114,metric,93927,daily,9.6, ,19.6, ,2.9, ,5.3, ,1.94, ,0.0, ,75.0, ,96, ,45, ,9.9, ,145, ,0.9, ,127.1, ,1.5, ,235,36.347306,-121.29135
2019-01-25,25,114,metric,93927,daily,10.8, ,22.6, ,3.0, ,6.1, ,2.1, ,0.0, ,73.0, ,96, ,43, ,10.1, ,158, ,0.9, ,158.4, ,1.8, ,235,36.347306,-121.29135
2019-01-26,26,114,metric,93927,daily,11.2, ,20.5, ,4.3, ,6.6, ,1.84, ,0.0, ,74.0, ,94, ,43, ,10.5, ,126, ,1.0, ,136.2, ,1.6, ,235,36.347306,-121.29135
2019-01-27,27,114,metric,93927,daily,12.9, ,24.6, ,6.5, ,6.9, ,2.26, ,0.0, ,67.0, ,94, ,32, ,11.1, ,150, ,1.0, ,129.0, ,1.5, ,235,36.347306,-121.29135
2019-01-28,28,114,metric,93927,daily,12.4, ,21.1, ,7.1, ,8.9, ,1.71, ,0.0, ,79.0, ,97, ,46, ,11.5, ,111, ,1.1, ,133.6, ,1.5, ,235,36.347306,-121.29135
2019-01-29,29,114,metric,93927,daily,11.5, ,20.1, ,7.2, ,10.0, ,1.51, ,0.1, ,90.0, ,100, ,62, ,11.9, ,106, ,1.2, ,169.2, ,2.0, ,235,36.347306,-121.29135
