Date,Julian,Station,Standard,ZipCodes,Scope,DayAirTmpAvg.Value,DayAirTmpAvg.Qc,DayAirTmpMax.Value,DayAirTmpMax.Qc,DayAirTmpMin.Value,DayAirTmpMin.Qc,DayDewPnt.Value,DayDewPnt.Qc,DayEto.Value,DayEto.Qc,DayPrecip.Value,DayPrecip.Qc,DayRelHumAvg.Value,DayRelHumAvg.Qc,DayRelHumMax.Value,DayRelHumMax.Qc,DayRelHumMin.Value,DayRelHumMin.Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,DaySolRadAvg.Value,DaySolRadAvg.Qc,DayVapPresAvg.Value,DayVapPresAvg.Qc,DayWindRun.Value,DayWindRun.Qc,DayWindSpdAvg.Value,DayWindSpdAvg.Qc
2017-01-01,1,231,metric,"93436, 93437, 93438",daily,8.8, ,12.9, ,1.5, ,5.1, ,,N,0, ,77, ,90, ,66, ,9, ,67, ,0.9, ,222.7, ,2.6, 
2017-01-02,2,231,metric,"93436, 93437, 93438",daily,8.8, ,13.3, ,4.7, ,5.9, ,,N,0, ,82, ,92, ,62, ,9.3, ,52, ,0.9, ,101.9, ,1.2, 
2017-01-03,3,231,metric,"93436, 93437, 93438",daily,11.5, ,15.6, ,4.4, ,8.2, ,,N,0, ,80, ,93, ,68, ,9.3, ,65, ,1.1, ,292.6,R,3.4,R
2017-01-04,4,231,metric,"93436, 93437, 93438",daily,14.3, ,15.8, ,13,Y,12.3,Y,,N,0.8, ,88,Y,93, ,82, ,10.7, ,27, ,1.4,Y,276.1,Y,3.2,Y
2017-01-05,5,231,metric,"93436, 93437, 93438",daily,12.3, ,15.7, ,3.4, ,11,Y,,N,8, ,92,Y,97, ,78, ,11.9, ,85, ,1.3,Y,210, ,2.4, 
2017-01-06,6,231,metric,"93436, 93437, 93438",daily,8.9, ,17.1, ,1.1, ,6, ,,N,0.7, ,82, ,96, ,58, ,10.3, ,126, ,0.9, ,125.2, ,1.4, 
2017-01-07,7,231,metric,"93436, 93437, 93438",daily,13.9, ,16.7, ,10.8,Y,8.6, ,,N,10.2, ,71, ,85, ,56, ,10.4, ,15, ,1.1, ,382.5,R,4.4,R
2017-01-08,8,231,metric,"93436, 93437, 93438",daily,17.2,Y,20.9, ,13.5,Y,8.6,Y,,N,23.6, ,57,Y,93, ,42, ,10.9, ,99, ,1.1, ,395.8,R,4.6,R
2017-01-09,9,231,metric,"93436, 93437, 93438",daily,14.5, ,17.2, ,11.3,Y,12.6,Y,,N,8.8, ,88,Y,96, ,73, ,12.4, ,104, ,1.5,Y,168.3, ,1.9, 
2017-01-10,10,231,metric,"93436, 93437, 93438",daily,14.2, ,17.2, ,10.7,Y,12.2,Y,,N,0.7, ,88,Y,93, ,81, ,12.7,Y,65, ,1.4,Y,231.3, ,2.7, 
