Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long,dT,bT,aT,Tmax_corr,Tmin_corr,Tdew_corr,AI,Tmax_diff,Tmin_diff,Tdew_diff,Tmax_diff_avg,Tmin_diff_avg,Tdew_diff_avg,ETo_uncor,ETo_corr,ETo_CIMIS,NDVI,NDVI_interp
2022-04-27,117,267,metric,"96114, 96128, 96127",daily,13.9,H,18.5, ,,Y,-1.3, ,,H,,H,35.0, ,46.0,H,30.0,H,12.4,H,,H,0.6,H,314.9,H,3.6,H,4112,40.364578,-120.559397,,0.3,1.5,18.5,,-1.3,0.393829947888576,0.0,,0.0,,,,,,,,0.62174609375
2022-04-28,118,267,metric,"96114, 96128, 96127",daily,6.5, ,13.4, ,-1.9, ,-1.8, ,3.74, ,0.0, ,55.0, ,75.0, ,33.0, ,10.1, ,221.0, ,0.5, ,280.7, ,3.2, ,4112,40.364578,-120.559397,-0.0999999999999998,0.3,1.5,13.4,-1.9,-1.8,0.393829947888576,0.0,0.0,0.0,,,,3.3825289539034893,3.3825289539034893,3.74,,0.6287786830357143
2022-04-29,119,267,metric,"96114, 96128, 96127",daily,7.7, ,18.0, ,-4.7, ,-2.1, ,4.82, ,0.0, ,50.0, ,89.0, ,27.0, ,10.1, ,323.0, ,0.5, ,153.0, ,1.8, ,4112,40.364578,-120.559397,-2.6,0.3,1.5,18.0,-4.7,-2.1,0.393829947888576,0.0,0.0,0.0,,,,4.431472393192434,4.431472393192434,4.82,,0.6355469866071429
2022-04-30,120,267,metric,"96114, 96128, 96127",daily,12.0, ,19.5, ,3.5, ,2.1, ,5.74, ,0.0, ,50.0, ,71.0, ,33.0, ,12.0, ,294.0, ,0.7, ,289.2, ,3.3, ,4112,40.364578,-120.559397,1.4,0.3,1.5,19.5,3.5,2.1,0.393829947888576,0.0,0.0,0.0,0.0,0.0,0.0,4.9152528113230485,4.9152528113230485,5.74,,0.6420510044642856
2022-05-01,121,267,metric,"96114, 96128, 96127",daily,8.3, ,16.5, ,-0.6, ,-1.5, ,4.88, ,0.4, ,50.0, ,81.0, ,29.0, ,11.9, ,,R,0.5, ,179.8, ,2.1, ,4112,40.364578,-120.559397,0.9,0.3,1.5,16.5,-0.6,-1.5,0.393829947888576,0.0,0.0,0.0,,,,,,4.88,,0.6482907366071429
2022-05-02,122,267,metric,"96114, 96128, 96127",daily,6.7, ,14.1, ,-2.8, ,-3.3, ,4.73, ,0.0, ,49.0, ,86.0, ,26.0, ,10.0, ,232.0, ,0.5, ,388.4,Y,4.5,Y,4112,40.364578,-120.559397,0.5,0.3,1.5,14.1,-2.8,-3.3,0.393829947888576,0.0,0.0,0.0,,,,3.867051958600612,3.867051958600612,4.73,,0.6542661830357143
2022-05-03,123,267,metric,"96114, 96128, 96127",daily,7.4, ,16.7, ,-2.4, ,-1.1, ,4.78, ,0.0, ,55.0, ,83.0, ,35.0, ,10.2, ,340.0, ,0.6, ,140.7, ,1.6, ,4112,40.364578,-120.559397,-1.2999999999999998,0.3,1.5,16.7,-2.4,-1.1,0.393829947888576,0.0,0.0,0.0,,,,4.473227665217697,4.473227665217697,4.78,0.7306,0.66012375
2022-05-04,124,267,metric,"96114, 96128, 96127",daily,13.1, ,24.1, ,-1.3, ,1.5, ,5.76, ,0.0, ,45.0, ,88.0, ,27.0, ,12.2, ,341.0, ,0.7, ,160.4, ,1.9, ,4112,40.364578,-120.559397,-2.8,0.3,1.5,24.1,-1.3,1.5,0.393829947888576,0.0,0.0,0.0,,,,5.470014965568563,5.470014965568563,5.76,0.7391,0.6658634375
2022-05-05,125,267,metric,"96114, 96128, 96127",daily,13.8, ,19.2, ,7.9, ,2.2, ,5.8, ,0.0, ,45.0, ,67.0, ,28.0, ,12.7, ,255.0, ,0.7, ,363.1, ,4.2, ,4112,40.364578,-120.559397,5.7,0.3,1.5,17.939999999999998,6.640000000000001,5.140000000000001,0.393829947888576,1.2600000000000016,1.2599999999999998,-2.9400000000000004,,,,5.111240074739563,4.363272173998532,5.8,,0.6720604687499999
2022-05-06,126,267,metric,"96114, 96128, 96127",daily,13.5, ,18.2, ,,Y,4.5, ,6.52, ,0.0, ,54.0, ,67.0, ,48.0, ,12.9, ,319.0, ,0.8, ,477.8,R,5.5,R,4112,40.364578,-120.559397,,0.3,1.5,18.2,,4.5,0.393829947888576,0.0,,0.0,,,,,,6.52,,0.6781916294642857
