Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2015-01-01,1,5,metric,"93263, 93280, 93388",daily,-1.2,Y,6.9, ,-7.2,Y,-5.7,Y,1.24, ,0.25, ,71.0,Y,97, ,35, ,10.4, ,130, ,0.4, ,122.0, ,1.4, ,360,35.532556,-119.28179
2015-01-02,2,5,metric,"93263, 93280, 93388",daily,0.0,Y,8.1, ,-6.0,Y,-4.9,Y,1.29, ,0.0, ,69.0,Y,96, ,32, ,9.9, ,129, ,0.4, ,103.2, ,1.2, ,360,35.532556,-119.28179
2015-01-03,3,5,metric,"93263, 93280, 93388",daily,0.3,Y,9.5, ,-6.4,Y,-3.9,Y,1.24, ,0.25, ,73.0,Y,97, ,39, ,9.6, ,126, ,0.5, ,103.6, ,1.2, ,360,35.532556,-119.28179
2015-01-04,4,5,metric,"93263, 93280, 93388",daily,0.4,Y,9.0, ,-5.5,Y,-3.3,Y,1.2, ,0.0, ,76.0,Y,98, ,44, ,9.6, ,116, ,0.5, ,110.3, ,1.3, ,360,35.532556,-119.28179
2015-01-05,5,5,metric,"93263, 93280, 93388",daily,0.2,Y,9.1, ,-5.8,Y,-3.5,Y,1.19, ,0.25, ,76.0,Y,99, ,46, ,9.6, ,121, ,0.5, ,94.9, ,1.1, ,360,35.532556,-119.28179
2015-01-06,6,5,metric,"93263, 93280, 93388",daily,1.1,Y,10.4, ,-6.2,Y,-2.6,Y,1.24, ,0.0, ,76.0,Y,99, ,42, ,9.9, ,124, ,0.5, ,100.2, ,1.2, ,360,35.532556,-119.28179
2015-01-07,7,5,metric,"93263, 93280, 93388",daily,2.2, ,10.0, ,-4.0, ,-1.0, ,1.23, ,0.0, ,79.0, ,99, ,49, ,10.1, ,119, ,0.6, ,108.0, ,1.3, ,360,35.532556,-119.28179
2015-01-08,8,5,metric,"93263, 93280, 93388",daily,14.7,Y,20.5, ,,S,8.6,Y,1.53,R,0.0,R,67.0,Y,100, ,47, ,10.6, ,163,R,1.1, ,117.4, ,1.4, ,360,35.532556,-119.28179
2015-01-09,9,5,metric,"93263, 93280, 93388",daily,12.4, ,19.7, ,7.1, ,12.0,Y,1.25,R,0.0, ,97.0,Y,100, ,50, ,11.2, ,95, ,1.4,Y,101.9, ,1.2, ,360,35.532556,-119.28179
2015-01-10,10,5,metric,"93263, 93280, 93388",daily,12.2, ,18.1, ,6.2, ,,I,0.84,R,0.25, ,,R,100, ,63, ,11.6, ,72, ,1.7,R,103.3, ,1.2, ,360,35.532556,-119.28179
2015-01-11,11,5,metric,"93263, 93280, 93388",daily,12.1, ,16.5, ,7.7, ,,I,0.3,R,4.32, ,,R,100, ,78, ,12.1, ,48, ,2.0,R,102.9, ,1.2, ,360,35.532556,-119.28179
2015-01-12,12,5,metric,"93263, 93280, 93388",daily,10.4, ,15.8, ,7.0, ,,I,0.56,R,0.25, ,,R,100, ,80, ,12.2, ,67, ,1.8,R,107.6, ,1.2, ,360,35.532556,-119.28179
2015-01-13,13,5,metric,"93263, 93280, 93388",daily,11.7, ,16.0, ,6.3, ,10.2, ,1.23,R,0.25,R,90.0, ,100, ,71, ,12.2, ,151, ,1.2, ,122.6, ,1.4, ,360,35.532556,-119.28179
2015-01-14,14,5,metric,"93263, 93280, 93388",daily,10.4, ,17.5, ,6.0, ,10.2, ,1.23,R,0.25, ,99.0, ,100, ,62, ,12.4, ,107, ,1.2, ,137.4, ,1.6, ,360,35.532556,-119.28179
2015-01-15,15,5,metric,"93263, 93280, 93388",daily,8.8, ,11.9, ,7.7, ,10.0, ,0.66,R,0.25, ,100.0, ,100, ,90, ,12.6, ,74, ,1.2, ,147.0, ,1.7, ,360,35.532556,-119.28179
2015-01-16,16,5,metric,"93263, 93280, 93388",daily,9.2, ,15.0, ,5.4, ,8.6, ,1.05,R,0.0, ,96.0, ,100, ,63, ,12.7, ,94, ,1.1, ,168.0, ,1.9, ,360,35.532556,-119.28179
2015-01-17,17,5,metric,"93263, 93280, 93388",daily,6.9, ,9.2, ,3.5, ,8.5, ,0.08,R,0.25, ,100.0, ,100, ,100, ,12.2, ,34, ,1.1, ,116.0, ,1.3, ,360,35.532556,-119.28179
