Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2010-01-01,1,191,metric,94588,daily,10.6, ,17.1, ,6.7, ,8.1, ,0.67, ,0.1, ,85, ,93, ,64, ,10.0, ,59, ,1.1, ,78.7, ,0.9, ,335,37.663969,-121.88503
2010-01-02,2,191,metric,94588,daily,9.4, ,13.0, ,5.9, ,7.8, ,0.15, ,0.0, ,90, ,94, ,80, ,10.2, ,25, ,1.1, ,82.0, ,0.9, ,335,37.663969,-121.88503
2010-01-03,3,191,metric,94588,daily,7.7, ,12.6, ,2.2, ,5.9, ,1.08, ,0.0, ,89, ,96, ,76, ,9.5, ,93, ,0.9, ,127.0, ,1.5, ,335,37.663969,-121.88503
2010-01-04,4,191,metric,94588,daily,7.3, ,11.6, ,2.6, ,5.0, ,0.77, ,0.0, ,86, ,95, ,72, ,9.5, ,73, ,0.9, ,104.2, ,1.2, ,335,37.663969,-121.88503
2010-01-05,5,191,metric,94588,daily,6.2, ,14.3, ,1.1, ,4.3, ,0.85, ,0.0, ,87, ,96, ,64, ,8.9, ,78, ,0.8, ,87.3, ,1.0, ,335,37.663969,-121.88503
2010-01-06,6,191,metric,94588,daily,6.5, ,12.5, ,3.0, ,4.7, ,0.86, ,0.1, ,88, ,96, ,71, ,8.9, ,81, ,0.9, ,110.0, ,1.3, ,335,37.663969,-121.88503
2010-01-07,7,191,metric,94588,daily,6.6, ,15.3, ,2.1, ,5.0, ,0.79, ,0.0, ,90, ,96, ,69, ,8.9, ,75, ,0.9, ,80.2, ,0.9, ,335,37.663969,-121.88503
2010-01-08,8,191,metric,94588,daily,6.9, ,9.5, ,5.9, ,5.6, ,0.27, ,0.2, ,91, ,94, ,85, ,9.1, ,37, ,0.9, ,114.7, ,1.3, ,335,37.663969,-121.88503
2010-01-09,9,191,metric,94588,daily,7.1, ,11.5, ,2.5, ,5.3, ,0.52, ,0.0, ,88, ,95, ,77, ,9.4, ,55, ,0.9, ,91.2, ,1.1, ,335,37.663969,-121.88503
2010-01-10,10,191,metric,94588,daily,6.4, ,12.4, ,1.9, ,4.7, ,0.8, ,0.1, ,89, ,97, ,74, ,9.0, ,79, ,0.9, ,85.0, ,1.0, ,335,37.663969,-121.88503
