Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2020-01-01,1,191,metric,94588,daily,9.9, ,16.6, ,3.6, ,8.0, ,1.06, ,0.0, ,88.0, ,97, ,69, ,9.2, ,86, ,1.1, ,121.5, ,1.4, ,335,37.663969,-121.88503
2020-01-02,2,191,metric,94588,daily,9.0, ,19.3, ,3.3, ,6.8, ,1.02, ,0.2, ,86.0, ,99, ,48, ,9.9, ,93, ,1.0, ,67.9, ,0.8, ,335,37.663969,-121.88503
2020-01-03,3,191,metric,94588,daily,7.7, ,17.8, ,1.3, ,4.9, ,1.25, ,0.0, ,82.0, ,98, ,48, ,9.4, ,104, ,0.9, ,72.5, ,0.8, ,335,37.663969,-121.88503
2020-01-04,4,191,metric,94588,daily,9.2, ,15.5, ,2.1, ,6.8, ,0.89, ,0.0, ,85.0, ,98, ,67, ,9.4, ,71, ,1.0, ,108.1, ,1.3, ,335,37.663969,-121.88503
2020-01-05,5,191,metric,94588,daily,7.4, ,15.9, ,0.8, ,3.7, ,1.48, ,0.0, ,77.0, ,98, ,44, ,9.3, ,118, ,0.8, ,91.8, ,1.1, ,335,37.663969,-121.88503
2020-01-06,6,191,metric,94588,daily,6.7, ,15.3, ,0.0, ,1.4, ,1.63, ,0.0, ,69.0, ,97, ,34, ,8.6, ,119, ,0.7, ,103.9, ,1.2, ,335,37.663969,-121.88503
2020-01-07,7,191,metric,94588,daily,7.4, ,16.6, ,-0.7, ,3.8, ,1.36, ,0.0, ,78.0, ,95, ,45, ,8.1, ,114, ,0.8, ,111.7, ,1.3, ,335,37.663969,-121.88503
2020-01-08,8,191,metric,94588,daily,9.8, ,13.9, ,3.6, ,6.8, ,0.89, ,0.0, ,82.0, ,98, ,63, ,9.0, ,75, ,1.0, ,125.2, ,1.4, ,335,37.663969,-121.88503
2020-01-09,9,191,metric,94588,daily,8.4, ,12.3, ,1.7, ,6.1, ,0.66, ,1.9, ,85.0, ,97, ,74, ,9.5, ,53, ,0.9, ,164.2, ,1.9, ,335,37.663969,-121.88503
2020-01-10,10,191,metric,94588,daily,6.9, ,16.1, ,-0.1, ,2.4, ,1.45, ,0.1, ,73.0, ,98, ,34, ,8.7, ,121, ,0.7, ,79.2, ,0.9, ,335,37.663969,-121.88503
2020-01-11,11,191,metric,94588,daily,9.1, ,14.2, ,3.2, ,5.1, ,1.62, ,0.1, ,76.0, ,96, ,50, ,9.0, ,122, ,0.9, ,144.0, ,1.7, ,335,37.663969,-121.88503
2020-01-12,12,191,metric,94588,daily,6.4, ,13.0, ,0.5, ,3.7, ,1.06, ,0.0, ,83.0, ,97, ,57, ,8.5, ,94, ,0.8, ,100.1, ,1.2, ,335,37.663969,-121.88503
2020-01-13,13,191,metric,94588,daily,9.5, ,13.1, ,3.5, ,5.9, ,1.07, ,0.2, ,78.0, ,97, ,64, ,8.8, ,83, ,0.9, ,143.0, ,1.7, ,335,37.663969,-121.88503
2020-01-14,14,191,metric,94588,daily,9.3, ,13.3, ,3.3, ,4.9, ,1.58, ,2.2, ,74.0, ,93, ,54, ,9.3, ,119, ,0.9, ,166.0, ,1.9, ,335,37.663969,-121.88503
2020-01-15,15,191,metric,94588,daily,5.0, ,11.7, ,-0.8, ,2.0, ,0.84, ,0.0, ,81.0, ,97, ,58, ,8.6, ,81, ,0.7, ,69.1, ,0.8, ,335,37.663969,-121.88503
2020-01-16,16,191,metric,94588,daily,7.8, ,12.2, ,5.1, ,4.2, ,0.54, ,18.9, ,78.0, ,91, ,62, ,8.2, ,32, ,0.8, ,246.1, ,2.8, ,335,37.663969,-121.88503
